channel;bin;weight;err_stat;err_syst_up;err_syst_do;err_tot_up;err_tot_do;wnorm_prefit_err_rel
res_wjetcr_ele_mext;Wjets_res_14;1.2794325762205696;0.08812331898944986;0.2533530802784054;0.24746423124890024;0.26824150058533536;0.2626866290798325;0.1980198761444763
res_wjetcr_ele_mext;Wjets_res_15;1.2469252069694738;0.14812839404901046;0.272369461344559;0.2621497180357489;0.3100437785162995;0.3011054562603633;0.2184328777878551
res_wjetcr_ele_mext;Wjets_res_16;1.449059222666368;0.18106315877244164;0.367861827559406;0.29394966697477865;0.4100075507109602;0.34523944470358203;0.2538625211483869
res_wjetcr_ele_mext;Wjets_res_17;1.40399917230107;0.08283102467305468;0.27463862011175577;0.2844091231767323;0.28685771787643694;0.296225468173393;0.19561166810493175
res_wjetcr_mu_mext;Wjets_res_6;0.8748603731975136;0.06762651491047296;0.2532779590700779;0.20367806812820397;0.2621508536504134;0.2146115117028295;0.28950672224914725
res_wjetcr_mu_mext;Wjets_res_7;1.4577033493887512;0.01743677625721594;0.2973800387531196;0.33289343616964817;0.2978907998160586;0.33334978777716334;0.20400586914876606
res_wjetcr_mu_mext;Wjets_res_4;1.1926457966436101;0.04296005264594532;0.32425686671437093;0.2714439126458515;0.32709032656861575;0.27482242236730076;0.27188027461875697
res_wjetcr_mu_mext;Wjets_res_5;1.2559585039462229;0.0775578841871514;0.36239942895580474;0.2826461388962583;0.37060568196815463;0.2930939529102409;0.2885441101892661
res_wjetcr_mu_mext;Wjets_res_2;1.2803188642365788;0.023559809616711197;0.24341450844648135;0.257118125192333;0.24455201399992152;0.2581952651223409;0.19012022336453124
res_wjetcr_mu_mext;Wjets_res_3;1.201271756030708;0.031155897509448284;0.26844816879910827;0.24958119076921728;0.270250086551723;0.251518310934611;0.2234699745926982
res_wjetcr_mu_mext;Wjets_res_1;1.3820669457431356;0.012976178501864442;0.26838292184313484;0.3069454150347168;0.2686964345605845;0.30721957785816123;0.1941895236477316
res_wjetcr_mu_mext;Wjets_res_8;1.291893619680033;0.028975801049182077;0.24529177427965757;0.2499699392249294;0.24699727038107983;0.2516437314191567;0.18986994791444955
res_wjetcr_mu_mext;Wjets_res_9;1.1300478725271068;0.03303873189635273;0.22489776853935683;0.2683409084744589;0.22731160133020312;0.2703671595556994;0.19901614259617323
res_wjetcr_mu_mext;Wjets_res_18;0.8447980795527924;0.08385346490758162;0.183668493506253;0.18517768839691082;0.20190472774024765;0.20327857697512158;0.21741111627938464
res_wjetcr_mu_mext;Wjets_res_19;1.374950153955018;0.13886817588388026;0.28170307009951495;0.2918140401347966;0.3140716319198672;0.3231714781553424;0.2048823874008824
res_wjetcr_mu_mext;Wjets_res_21;0.9024647116483546;0.12156557738790506;0.1913558540939761;0.16741140142574779;0.22670521057463547;0.20689312925514852;0.21203693798116943
res_wjetcr_mu_mext;Wjets_res_20;1.036876001409454;0.16242910577316952;0.21926537355430248;0.22091871957036566;0.27287454707645287;0.27420484142130197;0.21146730492001845
res_wjetcr_mu_mext;Wjets_res_10;1.2264036968794696;0.04690603213857574;0.2797610189066746;0.2297141895982811;0.28366600704117834;0.2344542274171659;0.22811495074461555
res_wjetcr_mu_mext;Wjets_res_11;1.1821099067021938;0.07392608273313504;0.29713420824153564;0.26693937857987715;0.30619242873655544;0.27698681835942535;0.251359206582127
res_wjetcr_mu_mext;Wjets_res_12;1.024325890727885;0.07657384982783887;0.29208275168108266;0.22477656903600282;0.30195345387501266;0.23746170315453682;0.2851463136146339
res_wjetcr_mu_mext;Wjets_res_13;1.540951729067324;0.033940563234794045;0.29160040233508067;0.3323641504566813;0.29356899780916235;0.33409263736497774;0.18923396290393513
res_wjetcr_mu_mext;Wjets_res_14;1.3434522642559565;0.07605879845834901;0.2809267520409766;0.27128567677922544;0.2910408576733173;0.28174609003230217;0.2091081012071256
res_wjetcr_mu_mext;Wjets_res_15;1.2599070111701944;0.11643246937547093;0.28143934461404807;0.262067830972688;0.3045728560158552;0.28676831755896487;0.2233810448857244
res_wjetcr_mu_mext;Wjets_res_16;1.154416879139076;0.12359020212678305;0.2908476508242338;0.2273451662616602;0.3160172369534841;0.25876700462825825;0.25194334566654797
res_wjetcr_mu_mext;Wjets_res_17;1.2915943532870233;0.06660170273153468;0.2403717007665487;0.27061433922577494;0.249428028369193;0.2786896255717864;0.1861046389331282
boost_wjetcr_ele_mint;Wjets_boost_3;1.990653312442905;0.1868654554675742;0.564402409825969;0.4399886967422654;0.5945324033763552;0.47802589020686015;0.28352622041119824
boost_wjetcr_ele_mint;Wjets_boost_2;1.4237699495561011;0.15934702529570294;0.4008706175743824;0.31981284540769267;0.4313800256213263;0.35731181138937196;0.2815557511235328
boost_wjetcr_ele_mint;Wjets_boost_1;2.0922236076990153;0.2895118821957575;0.6364112565817335;0.49433177376619014;0.6991683755980895;0.5728708689463603;0.3041793688972115
boost_wjetcr_ele_mint;Wjets_boost_7;0.8878920803416626;0.1819123364498352;0.22790539666036566;0.19577347927950067;0.29160412887947357;0.267243995894836;0.25668141625124896
boost_wjetcr_ele_mint;Wjets_boost_6;0.8853128753702797;0.18372450638293444;0.23193005826152083;0.20491627201199672;0.2958821491250281;0.27521877258091887;0.2619752459428727
boost_wjetcr_ele_mint;Wjets_boost_5;0.9320298877550096;0.12141364285511198;0.2230983715467279;0.2009732370749459;0.25399637016727333;0.23480101084052235;0.23936825897730313
boost_wjetcr_ele_mint;Wjets_boost_4;0.9661659397540572;0.13995834958986883;0.2554104773461483;0.22219552961725475;0.2912436292146272;0.26260082444998584;0.26435466914841194
boost_wjetcr_mu_mint;Wjets_boost_3;1.2237357224291932;0.11475868977421537;0.3350330022204342;0.2689343121892461;0.35414215995209053;0.29239565857139105;0.2737788854895667
boost_wjetcr_mu_mint;Wjets_boost_2;1.227429233377102;0.11941602783457594;0.35490626998381725;0.27678918508585615;0.3744578056038015;0.30145056092878736;0.2891460137439791
boost_wjetcr_mu_mint;Wjets_boost_1;0.8743299414134241;0.11530493902738534;0.359506409978531;0.3482854671767733;0.37754481559115693;0.3668759948683646;0.4111793419739924
boost_wjetcr_mu_mint;Wjets_boost_7;1.2547487930071874;0.1780548956898768;0.309244976477735;0.2761808716307596;0.35684170349869115;0.32860222113348386;0.24645967240708364
boost_wjetcr_mu_mint;Wjets_boost_6;1.024870210029909;0.15074689860289864;0.26179464432209315;0.2182556731426347;0.3020944607802729;0.26525490814938224;0.2554417542436453
boost_wjetcr_mu_mint;Wjets_boost_5;1.1201640188850623;0.10939835351851972;0.2713572112536506;0.23279945869719484;0.29257945220387804;0.2572228367044224;0.24224774825720766
boost_wjetcr_mu_mint;Wjets_boost_4;1.1725874745145477;0.1214151152454137;0.306170896144015;0.25435145956540733;0.32936643401489213;0.28184445212405745;0.2611070839476347
res_wjetcr_ele_mint;Wjets_res_6;1.7241352009724338;0.13798885904181216;0.5175111055022386;0.4083840722920202;0.5355918871097752;0.4310666720142895;0.30015691647056203
res_wjetcr_ele_mint;Wjets_res_7;1.8008908796256766;0.025373199837597737;0.371655215029587;0.39171320958635564;0.37252033250372685;0.3925341231465653;0.20637297863757142
res_wjetcr_ele_mint;Wjets_res_4;1.6869041744806375;0.06818861870823387;0.45295456098514625;0.3711018875576554;0.4580584264464343;0.3773145884672253;0.2685123244327743
res_wjetcr_ele_mint;Wjets_res_5;1.4488810054803;0.1117013892093639;0.42153552243142123;0.33885642580165903;0.43608416277461054;0.35679248542868314;0.2909386767008401
res_wjetcr_ele_mint;Wjets_res_2;1.8266406309921874;0.0400627813392735;0.3945712788975966;0.3781112537619405;0.3965999503019679;0.38022775631200967;0.21600925338186247
res_wjetcr_ele_mint;Wjets_res_3;1.6276302925343675;0.04956041620495466;0.3843387243964007;0.3143880090828787;0.38752095417546234;0.31827041192907735;0.23613392191045465
res_wjetcr_ele_mint;Wjets_res_1;1.660324907599473;0.0189887691860383;0.322076013151245;0.3693673734845172;0.32263529193595913;0.36985514725369373;0.19398372672545652
res_wjetcr_ele_mint;Wjets_res_8;1.587659016288054;0.040880895482954815;0.29300175070780815;0.3405269309190218;0.2958399458040256;0.342972066350332;0.18454954603088902
res_wjetcr_ele_mint;Wjets_res_9;1.569453252068811;0.05289941657583312;0.3274414053403968;0.32114646282262077;0.33168693402869753;0.32547411395922793;0.20863406087997355
res_wjetcr_ele_mint;Wjets_res_18;1.4995679627396605;0.14135811112191457;0.3353317146448131;0.3081903780638206;0.36390860724443697;0.3390625675462808;0.22361888422327542
res_wjetcr_ele_mint;Wjets_res_19;0.9023481636606048;0.13977280963708147;0.2154113701510364;0.1602236347274835;0.25678492304687717;0.21262185080355658;0.23872312132510515
res_wjetcr_ele_mint;Wjets_res_21;1.3092105135030132;0.1780497913668714;0.28249699342546236;0.2666339911082419;0.33392555981867;0.3206172381830029;0.2157766001050466
res_wjetcr_ele_mint;Wjets_res_20;1.2828532091211418;0.21976758373637337;0.26747116813590643;0.2687171348003791;0.34617714633596225;0.34714073428027575;0.2084970955633699
res_wjetcr_ele_mint;Wjets_res_10;1.3033839837485233;0.06199416374733133;0.30068965247207147;0.27709888814273714;0.3070139140861633;0.2839490625951635;0.2306992077709058
res_wjetcr_ele_mint;Wjets_res_11;1.434446559038742;0.10772119077833492;0.3571606751619445;0.3100513754972625;0.37305174282509185;0.328231184366213;0.24898848473050586
res_wjetcr_ele_mint;Wjets_res_12;1.1547316084799595;0.1051437470052381;0.3302095989830705;0.2546589370206817;0.3465452160899956;0.27551112815783874;0.28596220676573025
res_wjetcr_ele_mint;Wjets_res_13;1.5645072655631027;0.043163724791999446;0.3076400461548794;0.2878563688547288;0.3106533520438751;0.29107455441544383;0.1966370197994271
res_wjetcr_ele_mint;Wjets_res_14;1.2794325762205696;0.08812331898944986;0.2533530802784054;0.24746423124890024;0.26824150058533536;0.2626866290798325;0.1980198761444763
res_wjetcr_ele_mint;Wjets_res_15;1.2469252069694738;0.14812839404901046;0.272369461344559;0.2621497180357489;0.3100437785162995;0.3011054562603633;0.2184328777878551
res_wjetcr_ele_mint;Wjets_res_16;1.449059222666368;0.18106315877244164;0.367861827559406;0.29394966697477865;0.4100075507109602;0.34523944470358203;0.2538625211483869
res_wjetcr_ele_mint;Wjets_res_17;1.40399917230107;0.08283102467305468;0.27463862011175577;0.2844091231767323;0.28685771787643694;0.296225468173393;0.19561166810493175
res_wjetcr_mu_mint;Wjets_res_6;0.8748603731975136;0.06762651491047296;0.2532779590700779;0.20367806812820397;0.2621508536504134;0.2146115117028295;0.28950672224914725
res_wjetcr_mu_mint;Wjets_res_7;1.4577033493887512;0.01743677625721594;0.2973800387531196;0.33289343616964817;0.2978907998160586;0.33334978777716334;0.20400586914876606
res_wjetcr_mu_mint;Wjets_res_4;1.1926457966436101;0.04296005264594532;0.32425686671437093;0.2714439126458515;0.32709032656861575;0.27482242236730076;0.27188027461875697
res_wjetcr_mu_mint;Wjets_res_5;1.2559585039462229;0.0775578841871514;0.36239942895580474;0.2826461388962583;0.37060568196815463;0.2930939529102409;0.2885441101892661
res_wjetcr_mu_mint;Wjets_res_2;1.2803188642365788;0.023559809616711197;0.24341450844648135;0.257118125192333;0.24455201399992152;0.2581952651223409;0.19012022336453124
res_wjetcr_mu_mint;Wjets_res_3;1.201271756030708;0.031155897509448284;0.26844816879910827;0.24958119076921728;0.270250086551723;0.251518310934611;0.2234699745926982
res_wjetcr_mu_mint;Wjets_res_1;1.3820669457431356;0.012976178501864442;0.26838292184313484;0.3069454150347168;0.2686964345605845;0.30721957785816123;0.1941895236477316
res_wjetcr_mu_mint;Wjets_res_8;1.291893619680033;0.028975801049182077;0.24529177427965757;0.2499699392249294;0.24699727038107983;0.2516437314191567;0.18986994791444955
res_wjetcr_mu_mint;Wjets_res_9;1.1300478725271068;0.03303873189635273;0.22489776853935683;0.2683409084744589;0.22731160133020312;0.2703671595556994;0.19901614259617323
res_wjetcr_mu_mint;Wjets_res_18;0.8447980795527924;0.08385346490758162;0.183668493506253;0.18517768839691082;0.20190472774024765;0.20327857697512158;0.21741111627938464
res_wjetcr_mu_mint;Wjets_res_19;1.374950153955018;0.13886817588388026;0.28170307009951495;0.2918140401347966;0.3140716319198672;0.3231714781553424;0.2048823874008824
res_wjetcr_mu_mint;Wjets_res_21;0.9024647116483546;0.12156557738790506;0.1913558540939761;0.16741140142574779;0.22670521057463547;0.20689312925514852;0.21203693798116943
res_wjetcr_mu_mint;Wjets_res_20;1.036876001409454;0.16242910577316952;0.21926537355430248;0.22091871957036566;0.27287454707645287;0.27420484142130197;0.21146730492001845
res_wjetcr_mu_mint;Wjets_res_10;1.2264036968794696;0.04690603213857574;0.2797610189066746;0.2297141895982811;0.28366600704117834;0.2344542274171659;0.22811495074461555
res_wjetcr_mu_mint;Wjets_res_11;1.1821099067021938;0.07392608273313504;0.29713420824153564;0.26693937857987715;0.30619242873655544;0.27698681835942535;0.251359206582127
res_wjetcr_mu_mint;Wjets_res_12;1.024325890727885;0.07657384982783887;0.29208275168108266;0.22477656903600282;0.30195345387501266;0.23746170315453682;0.2851463136146339
res_wjetcr_mu_mint;Wjets_res_13;1.540951729067324;0.033940563234794045;0.29160040233508067;0.3323641504566813;0.29356899780916235;0.33409263736497774;0.18923396290393513
res_wjetcr_mu_mint;Wjets_res_14;1.3434522642559565;0.07605879845834901;0.2809267520409766;0.27128567677922544;0.2910408576733173;0.28174609003230217;0.2091081012071256
res_wjetcr_mu_mint;Wjets_res_15;1.2599070111701944;0.11643246937547093;0.28143934461404807;0.262067830972688;0.3045728560158552;0.28676831755896487;0.2233810448857244
res_wjetcr_mu_mint;Wjets_res_16;1.154416879139076;0.12359020212678305;0.2908476508242338;0.2273451662616602;0.3160172369534841;0.25876700462825825;0.25194334566654797
res_wjetcr_mu_mint;Wjets_res_17;1.2915943532870233;0.06660170273153468;0.2403717007665487;0.27061433922577494;0.249428028369193;0.2786896255717864;0.1861046389331282
